#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,,,,2023-08-14T18:57:07Z,0,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:09Z,2,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:11Z,4,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:13Z,6,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:15Z,8,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:17Z,10,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:19Z,12,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:21Z,14,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:24Z,16,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:26Z,19,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:28Z,21,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:30Z,23,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:32Z,25,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:34Z,27,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:36Z,29,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:38Z,0,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:40Z,2,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:42Z,4,counter,boltdb_reads_total
,,,,,2023-08-14T18:57:44Z,6,counter,boltdb_reads_total
