#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,int,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,,,Timestamp,CounterValue,,,,
,,,49:28.5,3,,,,
,,,49:30.5,5,,,,
,,,49:32.5,7,,,,
,,,49:34.6,9,,,,
,,,49:36.6,11,,,,
,,,49:38.6,13,,,,
,,,49:40.6,15,,,,
,,,49:42.6,17,,,,
,,,49:44.7,19,,,,
,,,49:46.7,21,,,,
,,,49:48.7,23,,,,
,,,49:50.7,25,,,,
,,,49:52.8,27,,,,
,,,49:54.8,29,,,,
,,,49:56.8,0,,,,
,,,49:58.8,2,,,,
,,,50:00.9,4,,,,
,,,50:02.9,6,,,,
,,,50:04.9,8,,,,
,,,50:06.9,10,,,,
,,,50:09.0,12,,,,
,,,50:11.0,14,,,,
,,,50:13.0,17,,,,
,,,50:15.0,19,,,,
,,,50:17.1,21,,,,
,,,50:19.1,23,,,,
,,,50:21.1,25,,,,
,,,50:23.1,27,,,,
,,,50:25.1,29,,,,
,,,50:27.2,0,,,,
,,,50:29.2,2,,,,
,,,50:31.2,4,,,,
,,,50:33.2,6,,,,
,,,50:35.2,8,,,,
,,,50:37.3,10,,,,
,,,50:39.3,12,,,,
,,,50:41.3,14,,,,
,,,50:43.3,16,,,,
,,,50:45.3,18,,,,
,,,50:47.4,20,,,,
,,,50:49.4,22,,,,
,,,50:51.4,24,,,,
,,,50:53.4,26,,,,
,,,50:55.4,28,,,,
,,,50:57.5,30,,,,
,,,50:59.5,1,,,,
,,,51:01.5,3,,,,
,,,51:03.5,5,,,,
,,,51:05.5,7,,,,
,,,51:07.6,9,,,,
,,,51:09.6,11,,,,
,,,51:11.6,13,,,,
,,,51:13.6,15,,,,
,,,51:15.6,17,,,,
,,,51:17.6,19,,,,
,,,51:19.7,21,,,,
,,,51:21.7,23,,,,
,,,51:23.7,25,,,,
,,,51:25.7,27,,,,
,,,51:27.7,29,,,,
,,,51:29.8,0,,,,
,,,51:31.8,2,,,,
,,,51:33.8,4,,,,
,,,51:35.8,6,,,,
,,,51:37.8,8,,,,
,,,51:39.8,10,,,,
,,,51:41.9,12,,,,
,,,51:43.9,14,,,,
,,,51:45.9,16,,,,
,,,51:47.9,18,,,,
,,,51:49.9,20,,,,
,,,51:52.0,22,,,,
,,,51:54.0,24,,,,
,,,51:56.0,26,,,,
,,,51:58.0,29,,,,
,,,52:00.0,0,,,,
,,,52:02.1,2,,,,
,,,52:04.1,4,,,,
,,,52:06.1,6,,,,
,,,52:08.1,8,,,,
,,,52:10.1,10,,,,
,,,52:12.2,12,,,,
,,,52:14.2,14,,,,
,,,52:16.2,16,,,,
,,,52:18.2,18,,,,
,,,52:20.3,20,,,,
,,,52:22.3,22,,,,
,,,52:24.3,24,,,,
,,,52:26.3,26,,,,
,,,52:28.3,28,,,,
,,,52:30.3,30,,,,
,,,52:32.4,1,,,,
,,,52:34.4,3,,,,
,,,52:36.4,5,,,,
,,,52:38.4,7,,,,
,,,52:40.4,9,,,,
,,,52:42.4,11,,,,
,,,52:44.5,13,,,,
,,,52:46.5,15,,,,
,,,52:48.5,17,,,,
,,,52:50.5,19,,,,
,,,52:52.5,21,,,,
,,,52:54.6,23,,,,
,,,52:56.6,25,,,,
,,,52:58.6,27,,,,
,,,53:00.6,29,,,,
,,,53:02.6,0,,,,
,,,53:04.7,2,,,,
,,,53:06.7,4,,,,
,,,53:08.7,6,,,,
,,,53:10.7,8,,,,
